grid,velocity,T,density,X_C2H4,X_O2,X_CO2,X_CO,X_H2O,X_H2,X_N2
0.007087890624999999,3.554499006092566,1598.141326042974,0.21531759894378324,0.02830466124777063,0.0875330435800088,0.04835006547620984,0.023244281946750156,0.08657240535704483,0.0013424260508575674,0.7246531163413581
0.0070888671874999995,3.575110635736709,1607.2985379213276,0.21407622570599943,0.027927795087298642,0.08666239955363528,0.048812907075077974,0.023504442920117965,0.08709073505438279,0.0013681180575807193,0.7246336022519068
0.00708984375,3.595675101661253,1616.4343160503238,0.2128518761494326,0.027550386818958692,0.08579276255981097,0.049275781177070356,0.023765337761945827,0.08760717871349685,0.0013940119764412515,0.7246145409922761
0.007090820312499999,3.6161889953517434,1625.5471904034277,0.21164441137712764,0.027172531721434637,0.08492429693106893,0.04973861543804979,0.024026862355910155,0.08812166512718236,0.001420089535774423,0.7245959388905797
0.007091796875,3.63664889211937,1634.6356853214227,0.21045369352244409,0.026794327093505974,0.08405716845394454,0.05020133743122709,0.024288909431021258,0.0886341232788376,0.0014463317482892777,0.7245778025631744
0.0070927734375,3.6570513533254507,1643.698322133354,0.2092795854861321,0.0264158720903082,0.08319154405983492,0.05066387477723352,0.024551368736462267,0.08914448249983567,0.0014727189405495666,0.7245601388957759
0.007093749999999999,3.6773929302115427,1652.733619055261,0.20812195103968828,0.026037267685275877,0.0823275918249689,0.05112615511180139,0.02481412713496681,0.08965267243725869,0.0014992307758437168,0.7245429550298846
0.007094726562499999,3.6976701659889244,1661.7400939446934,0.20698065456104953,0.025658616493674923,0.0814654806510624,0.05158810621600534,0.025077068798120657,0.09015862321074844,0.0015258462885901292,0.7245262583417982
0.007095703124999999,3.7178796001883825,1670.7162642024691,0.20585556114476142,0.025280022721701385,0.08060538025305768,0.05204965598498988,0.025340075319633566,0.0906622653821182,0.0015525439119536085,0.7245100564265455
0.0070966796874999995,3.7380177705791637,1679.660649645974,0.20474653633775006,0.024901591978639764,0.07974746083178147,0.052510732557720964,0.02560302592930401,0.0911635301107032,0.0015793015168432305,0.7244943570750073
0.007097656249999999,3.758081218016616,1688.5717724037358,0.20365344625666962,0.02452343121399254,0.07889189305044789,0.05297126428675814,0.025865797624678565,0.0916623491245731,0.001606096443958553,0.7244791682555912
0.007098632812499999,3.778066488152458,1697.4481598911664,0.20257615732513096,0.024145648519853895,0.07803884770171499,0.053431179866849414,0.026128265401494655,0.0921586548734007,0.0016329055469509518,0.7244644980897355
0.007099609375,3.7979701367540453,1706.2883446867727,0.20151453639852393,0.023768353057180242,0.07718849567416536,0.05389040830572985,0.026390302401852812,0.09265238050098654,0.0016597052284901296,0.724450354831595
0.007100585937499999,3.8177887311651175,1715.0908675924306,0.20046845050402146,0.023391654850193545,0.07634100761633898,0.0543488790508898,0.026651780158601028,0.09314345999467534,0.0016864714870696966,0.7244367468422317
0.007101562499999999,3.8375188560672027,1723.8542774797088,0.19943776697304275,0.02301566470309701,0.07549655389455306,0.05480652196138509,0.026912568757826633,0.09363182815890327,0.0017131799566008717,0.724423682567634
0.0071025390625,3.8571571146482935,1732.5771344155712,0.19842235318526164,0.02264049398850565,0.07465530425662009,0.05526326743211337,0.02717253709434933,0.0941174207602254,0.0017398059562642118,0.7244111705119219
0.007103515624999999,3.8767001347727326,1741.2580094667621,0.19742207670879824,0.022266254556096817,0.07381742778252935,0.055719046366606885,0.027431553046053943,0.09460017450158953,0.0017663245330630198,0.7243992192140604
0.0071044921874999995,3.896144569815713,1749.8954878712134,0.19643680504932534,0.02189305851720062,0.07298309255061186,0.05617379029817696,0.027689483737428574,0.095080027162089,0.0017927105140581564,0.7243878372204349
0.00710546875,3.9154871052047873,1758.4881687883774,0.1954664057979668,0.021521018147019726,0.07215246558271571,0.05662743136365774,0.027946195723039878,0.09555691757168171,0.0018189385512528476,0.7243770330606323
0.007106445312499999,3.9347244588776906,1767.0346684959159,0.19451074638650187,0.021150245667616675,0.07132571251562125,0.05707990242079291,0.028201555255875695,0.09603078574482596,0.001844983175496412,0.724366815219771
0.007107421875,3.95385338815719,1775.533620074296,0.19356969424281356,0.020780853145436193,0.07050299754239459,0.057531137022903724,0.02845542847710851,0.0965015728553938,0.001870818843026538,0.7243571921137366
0.0071083984375,3.9728706897907364,1783.9836766082008,0.19264311655306107,0.020412952274980283,0.06968448309182253,0.05798106953192819,0.02870768168590571,0.09696922136341889,0.001896419990293772,0.7243481720616505
0.007109374999999999,3.99177320711822,1792.3835107939792,0.1917308804244365,0.020046654273438998,0.06887032976768162,0.05842963509397189,0.02895818153252609,0.09743367498995657,0.0019217610814563906,0.7243397632609684
0.007110351562499999,4.0105578296547195,1800.731818125644,0.19083285265501804,0.019682069667339534,0.06806069603885913,0.0588767697474558,0.029206795286242645,0.09789487883626867,0.001946816663361772,0.7243319737604724
0.007111328124999999,4.0292215004709835,1809.0273164145422,0.1899488999034836,0.019319308186116598,0.06725573817826479,0.059322410399512804,0.02945339102878912,0.09835277935841642,0.0019715614132750914,0.7243248114356251
0.007113281249999999,4.066177555990267,1825.4567741665328,0.18822252126830777,0.018601178824955177,0.06566385332054231,0.06020705191186435,0.029939058087177083,0.09925650426022116,0.0020199356838832695,0.7243124179113566
0.007115234375,4.1026167299905145,1841.661185181855,0.18655074112826456,0.01789156901133205,0.06409233517810238,0.061085035847870846,0.030415165693246378,0.10014650435508352,0.0020667743989693987,0.7243026155153953
